Electronic Credit Ledger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,GSTIN,05AAECM6380J1ZA,,,,,,,,,,,
,,,From,01-04-2022,,,,,,,,,,,
,,,To,31-03-2023,,,,,,,,,,,
Sr.No,Date,Reference No.,Tax Period if any ,Description ,Transaction Type[Debit (DR) / Credit (CR)],,,Credit / Debit,,,,Balance Available,,,
,,,,,,Integrated Tax,Central Tax,State Tax,CESS,Total,Integrated Tax,Central Tax,State Tax,CESS,Total
 -,-,-,-,Opening Balance,-,-,-,-,-,-,4030000,3958064,4201514,0,12189578
1,20-04-2022,AA050322217605N,Mar-22,ITC accrued through - Inputs,Credit,2080459,625016,625016,0,3330491,6110459,4583080,4826530,0,15520069
2,20-04-2022,DI0504220039529,Mar-22,Other than reverse charge,Debit,3189013,0,0,0,3189013,2921446,4583080,4826530,0,12331056
3,21-05-2022,AA050422137604K,Apr-22,ITC accrued through - Inputs,Credit,1385242,919397,919397,0,3224036,4306688,5502477,5745927,0,15555092
4,21-05-2022,DI0505220028057,Apr-22,Other than reverse charge,Debit,2343591,0,0,0,2343591,1963097,5502477,5745927,0,13211501
5,09-06-2022,DI0506220003129,Feb-22,Refund claimed from ITC Ledger,Debit,100000,2900000,2900000,0,5900000,1863097,2602477,2845927,0,7311501
6,20-06-2022,AA050522145585A,May-22,ITC accrued through - Inputs,Credit,2192624,659242,659242,0,3511108,4055721,3261719,3505169,0,10822609
7,20-06-2022,DI0506220030173,May-22,Other than reverse charge,Debit,4055721,0,158899,0,4214620,0,3261719,3346270,0,6607989
8,18-07-2022,AA0506221743188,Jun-22,ITC accrued through - Inputs,Credit,2306205,945060,945060,0,4196325,2306205,4206779,4291330,0,10804314
9,18-07-2022,DI0507220023518,Jun-22,Other than reverse charge,Debit,1449271,0,0,0,1449271,856934,4206779,4291330,0,9355043
10,16-08-2022,DI0508220009163,Jun-22,Refund claimed from ITC Ledger,Debit,0,730000,730000,0,1460000,856934,3476779,3561330,0,7895043
11,20-08-2022,AA050722148578Y,Jul-22,ITC accrued through - Inputs,Credit,1652119,1091997,1091997,0,3836113,2509053,4568776,4653327,0,11731156
12,20-08-2022,DI0508220032973,Jul-22,Other than reverse charge,Debit,2509053,505029,186111,0,3200193,0,4063747,4467216,0,8530963
13,19-09-2022,AA0508221257672,Aug-22,ITC accrued through - Inputs,Credit,2728574,433828,433828,0,3596230,2728574,4497575,4901044,0,12127193
14,19-09-2022,DI0509220020923,Aug-22,Other than reverse charge,Debit,2728574,0,24969,0,2753543,0,4497575,4876075,0,9373650
15,17-10-2022,AA050622004490T,Feb-22,Refund claimed from ITC Ledger,Credit,0,502740.5,502740.5,0,1005481,0,5000315.5,5378815.5,0,10379131
16,17-10-2022,AA050922162203J,Sep-22,ITC accrued through - Inputs,Credit,4604011,1447268,1447268,0,7498547,4604011,6447583.5,6826083.5,0,17877678
17,17-10-2022,DI0510220020566,Sep-22,Other than reverse charge,Debit,3646333,0,0,0,3646333,957678,6447583.5,6826083.5,0,14231345
18,28-10-2022,DI0510220067732,Sep-22,Refund claimed from ITC Ledger,Debit,0,1515000,1515000,0,3030000,957678,4932584,5311084,0,11201346
19,18-11-2022,AA051022130585Q,Oct-22,ITC accrued through - Inputs,Credit,1958154,1122593,1122593,0,4203340,2915832,6055177,6433677,0,15404686
20,18-11-2022,DI0511220026034,Oct-22,Other than reverse charge,Debit,2556955,0,0,0,2556955,358877,6055177,6433677,0,12847731
21,15-12-2022,AA0511221045230,Nov-22,ITC accrued through - Inputs,Credit,1408366,833532,833532,0,3075430,1767243,6888709,7267209,0,15923161
22,15-12-2022,DI0512220010767,Nov-22,Other than reverse charge,Debit,1767243,1685632,184302,0,3637177,0,5203077,7082907,0,12285984
23,28-12-2022,BL0512220000005,Dec-22,Blocked,Debit,31500,0,0,0,31500,-31500,5203077,7082907,0,12254484
24,19-01-2023,AA0512222210616,Dec-22,ITC accrued through - Inputs,Credit,2424174,651035,651035,0,3726244,2392674,5854112,7733942,0,15980728
25,19-01-2023,DI0501230038300,Dec-22,Other than reverse charge,Debit,2392674,585063,234789,0,3212526,0,5269049,7499153,0,12768202
26,17-02-2023,AA050123137607I,Jan-23,ITC accrued through - Inputs,Credit,1570292,562098,562098,0,2694488,1570292,5831147,8061251,0,15462690
27,17-02-2023,DI0502230020421,Jan-23,Other than reverse charge,Debit,1570292,587618,186249,0,2344159,0,5243529,7875002,0,13118531
28,19-03-2023,AA050223141963G,Feb-23,ITC accrued through - Inputs,Credit,1344151,496375,496375,0,2336901,1344151,5739904,8371377,0,15455432
29,19-03-2023,DI0503230025704,Feb-23,Other than reverse charge,Debit,1344151,186715,179355,0,1710221,0,5553189,8192022,0,13745211
 -,-,-,-,Closing Balance,-,-,-,-,-,-,0,5553189,8192022,0,13745211
