Electronic Cash Ledger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GSTIN,05AAECM6380J1ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,From,01-04-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,To,31-03-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.No,Date  of deposit/Debit ,Time of deposit,Reporting date (by bank),Reference No.,Tax Period if applicable,Description,Transaction Type (Debit/Credit),Integrated Tax Amount Debited / Credited,,,,,,Central Tax Amount Debited / Credited,,,,,,State Tax Amount Debited / Credited,,,,,,CESS Amount Debited / Credited,,,,,,Integrated Tax Balance,,,,,,Central Tax Balance,,,,,,State Tax Balance,,,,,,CESS Balance,,,,,
,,,,,,,,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total
1,-,-,-,-,-,Opening Balance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8210,0,2,0,0,8212,198918,0,0,0,0,198918,186108,0,0,0,0,186108,0,0,0,0,0,0
2,20-04-2022,-,-,DC0504220038738,Mar-22,Reverse charge,Debit,"1,068.00",0,0,0,0,"1,068.00","1,905.00",0,0,0,0,"1,905.00","1,905.00",0,0,0,0,"1,905.00",0,0,0,0,0,0,7142,0,2,0,0,7144,197013,0,0,0,0,197013,184203,0,0,0,0,184203,0,0,0,0,0,0
3,20-04-2022,15:33:38,-,AA050322217902N,-,TDS Credit,Credit,0,0,0,0,0,0,"11,117.00",0,0,0,0,"11,117.00","11,117.00",0,0,0,0,"11,117.00",0,0,0,0,0,0,7142,0,2,0,0,7144,208130,0,0,0,0,208130,195320,0,0,0,0,195320,0,0,0,0,0,0
4,21-05-2022,-,-,DC0505220030016,Apr-22,Reverse charge,Debit,912,0,0,0,0,912,"2,499.00",0,0,0,0,"2,499.00","2,499.00",0,0,0,0,"2,499.00",0,0,0,0,0,0,6230,0,2,0,0,6232,205631,0,0,0,0,205631,192821,0,0,0,0,192821,0,0,0,0,0,0
5,20-06-2022,-,-,DC0506220023707,May-22,Reverse charge,Debit,"1,253.00",0,0,0,0,"1,253.00","1,410.00",0,0,0,0,"1,410.00","1,410.00",0,0,0,0,"1,410.00",0,0,0,0,0,0,4977,0,2,0,0,4979,204221,0,0,0,0,204221,191411,0,0,0,0,191411,0,0,0,0,0,0
6,18-07-2022,-,-,DC0507220022155,Jun-22,Reverse charge,Debit,100,0,0,0,0,100,"3,407.00",0,0,0,0,"3,407.00","3,407.00",0,0,0,0,"3,407.00",0,0,0,0,0,0,4877,0,2,0,0,4879,200814,0,0,0,0,200814,188004,0,0,0,0,188004,0,0,0,0,0,0
7,20-08-2022,-,-,DC0508220029287,Jul-22,Reverse charge,Debit,"1,351.00",0,0,0,0,"1,351.00","2,742.00",0,0,0,0,"2,742.00","2,742.00",0,0,0,0,"2,742.00",0,0,0,0,0,0,3526,0,2,0,0,3528,198072,0,0,0,0,198072,185262,0,0,0,0,185262,0,0,0,0,0,0
8,19-09-2022,-,-,DC0509220017163,Aug-22,Reverse charge,Debit,150,0,0,0,0,150,"2,259.00",0,0,0,0,"2,259.00","2,259.00",0,0,0,0,"2,259.00",0,0,0,0,0,0,3376,0,2,0,0,3378,195813,0,0,0,0,195813,183003,0,0,0,0,183003,0,0,0,0,0,0
9,17-10-2022,-,-,DC0510220020570,Sep-22,Reverse charge,Debit,674,0,0,0,0,674,"3,635.00",0,0,0,0,"3,635.00","3,635.00",0,0,0,0,"3,635.00",0,0,0,0,0,0,2702,0,2,0,0,2704,192178,0,0,0,0,192178,179368,0,0,0,0,179368,0,0,0,0,0,0
10,18-11-2022,-,-,DC0511220024624,Oct-22,Reverse charge,Debit,"1,483.00",0,0,0,0,"1,483.00","2,844.00",0,0,0,0,"2,844.00","2,844.00",0,0,0,0,"2,844.00",0,0,0,0,0,0,1219,0,2,0,0,1221,189334,0,0,0,0,189334,176524,0,0,0,0,176524,0,0,0,0,0,0
11,15-12-2022,-,-,DC0512220011323,Nov-22,Reverse charge,Debit,395,0,0,0,0,395,"3,010.00",0,0,0,0,"3,010.00","3,010.00",0,0,0,0,"3,010.00",0,0,0,0,0,0,824,0,2,0,0,826,186324,0,0,0,0,186324,173514,0,0,0,0,173514,0,0,0,0,0,0
12,19-01-2023,-,-,DC0501230038922,Dec-22,Reverse charge,Debit,716,0,0,0,0,716,"3,470.00",0,0,0,0,"3,470.00","3,470.00",0,0,0,0,"3,470.00",0,0,0,0,0,0,108,0,2,0,0,110,182854,0,0,0,0,182854,170044,0,0,0,0,170044,0,0,0,0,0,0
13,17-02-2023,-,-,AA0502230120741,Feb-23,-,Debit,0,0,0,0,0,0,"1,000.00",0,0,0,0,"1,000.00",0,0,0,0,0,0,0,0,0,0,0,0,108,0,2,0,0,110,181854,0,0,0,0,181854,170044,0,0,0,0,170044,0,0,0,0,0,0
